all_fire_all_years
28.0
56.0
54.0
26.0
35.0
34.0
50.0
46.0
27.0
41.0
36.0
33.0
27.0
53.0
34.0
43.0
30.0
32.0
32.0
90.0
42.0
31.0
79.0
26.0
70.0
71.0
27.0
31.0
29.0
33.0
28.0
30.0
29.0
51.0
35.0
37.0
28.0
30.0
86.0
46.0
36.0
26.0
40.0
46.0
26.0
29.0
38.0
136.0
26.0
31.0
32.0
31.0
27.0
37.0
26.0
34.0
32.0
84.0
33.0
33.0
27.0
28.0
33.0
31.0
34.0
26.0
44.0
136.0
33.0
31.0
33.0
32.0
26.0
86.0
30.0
52.0
35.0
59.0
56.0
40.0
41.0
34.0
46.0
35.0
26.0
43.0
27.0
46.0
33.0
26.0
41.0
26.0
30.0
41.0
29.0
39.0
80.0
60.0
30.0
62.0
50.0
38.0
33.0
70.0
34.0
64.0
56.0
28.0
37.0
70.0
29.0
31.0
37.0
64.0
76.0
36.0
49.0
60.0
32.0
35.0
38.0
28.0
34.0
52.0
54.0
27.0
26.0
46.0
44.0
34.0
58.0
27.0
30.0
33.0
84.0
35.0
35.0
77.0
28.0
48.0
31.0
26.0
36.0
32.0
34.0
40.0
156.0
31.0
50.0
83.0
30.0
41.0
26.0
52.0
42.0
26.0
43.0
32.0
47.0
60.0
61.0
51.0
27.0
29.0
26.0
28.0
31.0
26.0
42.0
26.0
40.0
28.0
30.0
43.0
52.0
32.0
31.0
45.0
67.0
31.0
62.0
39.0
26.0
112.0
95.0
49.0
35.0
35.0
41.0
46.0
33.0
34.0
32.0
64.0
27.0
68.0
156.0
31.0
28.0
30.0
28.0
57.0
30.0
37.0
61.0
31.0
37.0
40.0
73.0
30.0
32.0
98.0
42.0
32.0
29.0
28.0
45.0
30.0
50.0
27.0
85.0
32.0
39.0
38.0
37.0
73.0
47.0
40.0
41.0
29.0
27.0
71.0
32.0
26.0
37.0
77.0
44.0
32.0
29.0
45.0
32.0
34.0
27.0
37.0
58.0
51.0
44.0
52.0
26.0
29.0
37.0
40.0
53.0
29.0
55.0
27.0
41.0
28.0
54.0
26.0
45.0
58.0
49.0
32.0
52.0
36.0
38.0
38.0
26.0
27.0
131.0
36.0
26.0
35.0
88.0
73.0
48.0
40.0
28.0
33.0
37.0
43.0
46.0
27.0
42.0
55.0
92.0
26.0
30.0
55.0
41.0
27.0
27.0
47.0
42.0
53.0
28.0
29.0
41.0
27.0
47.0
28.0
32.0
30.0
30.0
62.0
36.0
26.0
45.0
33.0
64.0
47.0
35.0
50.0
44.0
34.0
29.0
28.0
42.0
29.0
37.0
27.0
81.0
26.0
31.0
27.0
28.0
45.0
26.0
34.0
36.0
27.0
59.0
62.0
36.0
67.0
106.0
49.0
53.0
29.0
35.0
44.0
43.0
41.0
31.0
29.0
51.0
51.0
27.0
29.0
30.0
77.0
36.0
26.0
48.0
66.0
31.0
31.0
34.0
26.0
26.0
31.0
49.0
38.0
54.0
27.0
28.0
33.0
30.0
63.0
29.0
37.0
31.0
46.0
28.0
29.0
26.0
96.0
32.0
32.0
28.0
62.0
45.0
41.0
34.0
48.0
27.0
28.0
33.0
39.0
36.0
40.0
28.0
42.0
47.0
48.0
34.0
36.0
42.0
38.0
43.0
32.0
41.0
47.0
66.0
60.0
44.0
32.0
27.0
48.0
38.0
33.0
54.0
40.0
27.0
55.0
53.0
28.0
63.0
58.0
46.0
75.0
97.0
55.0
27.0
32.0
43.0
31.0
36.0
82.0
26.0
85.0
62.0
27.0
27.0
39.0
29.0
115.0
50.0
26.0
58.0
80.0
32.0
35.0
30.0
42.0
35.0
30.0
33.0
29.0
57.0
37.0
39.0
31.0
33.0
30.0
33.0
40.0
80.0
32.0
38.0
29.0
42.0
49.0
33.0
41.0
32.0
50.0
40.0
37.0
69.0
42.0
50.0
48.0
89.0
40.0
27.0
56.0
27.0
29.0
34.0
35.0
34.0
27.0
51.0
30.0
41.0
57.0
45.0
38.0
29.0
63.0
42.0
26.0
73.0
57.0
29.0
78.0
28.0
44.0
68.0
66.0
28.0
52.0
33.0
33.0
34.0
53.0
27.0
32.0
71.0
50.0
34.0
36.0
29.0
44.0
35.0
31.0
26.0
27.0
55.0
28.0
31.0
32.0
37.0
46.0
28.0
42.0
67.0
41.0
54.0
31.0
31.0
32.0
75.0
29.0
33.0
38.0
50.0
26.0
32.0
38.0
38.0
31.0
46.0
29.0
31.0
34.0
27.0
29.0
28.0
30.0
49.0
54.0
43.0
29.0
39.0
51.0
53.0
56.0
35.0
33.0
32.0
36.0
34.0
54.0
37.0
38.0
29.0
47.0
38.0
28.0
45.0
31.0
46.0
28.0
90.0
53.0
26.0
33.0
45.0
31.0
26.0
39.0
38.0
30.0
26.0
43.0
44.0
26.0
29.0
118.0
40.0
92.0
33.0
49.0
32.0
30.0
60.0
28.0
27.0
46.0
32.0
47.0
49.0
51.0
55.0
32.0
42.0
28.0
41.0
45.0
28.0
28.0
63.0
40.0
40.0
33.0
37.0
33.0
29.0
30.0
76.0
55.0
48.0
53.0
36.0
46.0
34.0
32.0
30.0
29.0
31.0
28.0
28.0
68.0
27.0
45.0
60.0
31.0
32.0
42.0
26.0
39.0
42.0
31.0
32.0
41.0
37.0
33.0
37.0
28.0
27.0
38.0
48.0
32.0
27.0
29.0
54.0
119.0
49.0
58.0
35.0
27.0
47.0
43.0
42.0
44.0
67.0
51.0
28.0
51.0
33.0
46.0
49.0
29.0
70.0
26.0
48.0
79.0
45.0
27.0
51.0
33.0
127.0
60.0
38.0
50.0
27.0
45.0
26.0
36.0
35.0
34.0
35.0
57.0
28.0
91.0
36.0
37.0
26.0
28.0
38.0
147.0
29.0
26.0
27.0
50.0
112.0
59.0
26.0
28.0
40.0
47.0
33.0
30.0
70.0
26.0
53.0
29.0
32.0
58.0
34.0
75.0
52.0
54.0
30.0
84.0
65.0
33.0
27.0
31.0
41.0
31.0
28.0
31.0
59.0
36.0
28.0
35.0
38.0
69.0
31.0
53.0
94.0
45.0
36.0
30.0
58.0
29.0
33.0
37.0
55.0
32.0
27.0
39.0
37.0
28.0
39.0
29.0
26.0
38.0
33.0
40.0
38.0
29.0
43.0
46.0
33.0
27.0
34.0
26.0
64.0
48.0
41.0
41.0
28.0
79.0
41.0
28.0
32.0
29.0
34.0
40.0
60.0
27.0
37.0
45.0
41.0
28.0
62.0
27.0
39.0
30.0
43.0
35.0
40.0
48.0
26.0
28.0
29.0
26.0
48.0
27.0
32.0
42.0
30.0
28.0
29.0
28.0
31.0
45.0
28.0
29.0
33.0
37.0
61.0
37.0
66.0
39.0
44.0
32.0
31.0
28.0
49.0
46.0
35.0
26.0
65.0
46.0
33.0
31.0
69.0
27.0
27.0
54.0
58.0
26.0
62.0
26.0
39.0
29.0
31.0
26.0
61.0
49.0
60.0
36.0
28.0
26.0
40.0
47.0
35.0
79.0
60.0
30.0
43.0
32.0
27.0
35.0
34.0
41.0
28.0
27.0
32.0
34.0
54.0
31.0
43.0
114.0
26.0
62.0
35.0
29.0
47.0
36.0
77.0
34.0
59.0
32.0
33.0
26.0
65.0
62.0
28.0
31.0
26.0
36.0
57.0
29.0
41.0
26.0
29.0
35.0
27.0
39.0
31.0
37.0
31.0
35.0
27.0
34.0
36.0
56.0
125.0
64.0
32.0
67.0
26.0
29.0
40.0
37.0
32.0
26.0
35.0
39.0
40.0
39.0
55.0
39.0
33.0
26.0
57.0
28.0
35.0
28.0
58.0
26.0
36.0
40.0
27.0
29.0
35.0
29.0
63.0
27.0
45.0
32.0
197.0
32.0
33.0
42.0
51.0
33.0
56.0
53.0
30.0
41.0
28.0
29.0
29.0
27.0
29.0
31.0
54.0
33.0
27.0
48.0
30.0
128.0
27.0
56.0
57.0
31.0
27.0
31.0
34.0
27.0
33.0
56.0
33.0
35.0
34.0
34.0
68.0
27.0
28.0
33.0
39.0
29.0
30.0
48.0
32.0
59.0
26.0
64.0
34.0
30.0
39.0
69.0
41.0
63.0
57.0
27.0
31.0
37.0
90.0
30.0
31.0
31.0
33.0
47.0
82.0
27.0
45.0
31.0
32.0
31.0
33.0
35.0
43.0
41.0
35.0
55.0
71.0
44.0
55.0
45.0
27.0
29.0
33.0
29.0
39.0
156.0
27.0
36.0
54.0
39.0
29.0
75.0
46.0
36.0
34.0
60.0
32.0
28.0
130.0
39.0
45.0
30.0
45.0
50.0
34.0
48.0
35.0
65.0
50.0
34.0
32.0
30.0
32.0
33.0
28.0
27.0
69.0
50.0
55.0
56.0
28.0
32.0
42.0
31.0
31.0
26.0
32.0
28.0
52.0
29.0
44.0
43.0
28.0
26.0
34.0
32.0
41.0
101.0
104.0
32.0
39.0
30.0
35.0
42.0
26.0
30.0
45.0
34.0
62.0
38.0
33.0
60.0
38.0
31.0
49.0
27.0
29.0
38.0
30.0
31.0
56.0
31.0
59.0
52.0
30.0
34.0
31.0
30.0
35.0
27.0
86.0
35.0
47.0
26.0
68.0
49.0
35.0
36.0
63.0
56.0
30.0
40.0
37.0
38.0
62.0
42.0
42.0
27.0
61.0
61.0
27.0
35.0
103.0
29.0
26.0
57.0
40.0
30.0
31.0
77.0
29.0
29.0
39.0
46.0
63.0
33.0
34.0
27.0
41.0
35.0
75.0
26.0
28.0
30.0
30.0
39.0
27.0
28.0
29.0
92.0
32.0
40.0
27.0
49.0
29.0
