"","tractid","id","N","population","fire_per_1000"
"1","01001020100","1400000US01001020100",3,1912,1.56903765690377
"2","01001020200","1400000US01001020200",4,2170,1.84331797235023
"3","01001020300","1400000US01001020300",5,3373,1.48235991698784
"4","01001020400","1400000US01001020400",8,4386,1.82398540811674
"5","01001020500","1400000US01001020500",15,10766,1.39327512539476
"6","01001020600","1400000US01001020600",5,3668,1.36314067611778
"7","01001020700","1400000US01001020700",8,2891,2.76720857834659
"8","01001020801","1400000US01001020801",2,3081,0.649139889646219
"9","01001020802","1400000US01001020802",10,10435,0.95831336847149
"10","01001021000","1400000US01001021000",1,2894,0.345542501727713
"11","01001021100","1400000US01001021100",1,3320,0.301204819277108
"12","01003010100","1400000US01003010100",3,3804,0.788643533123028
"13","01003010200","1400000US01003010200",5,2902,1.72294968986906
"14","01003010300","1400000US01003010300",7,7826,0.894454382826476
"15","01003010400","1400000US01003010400",5,4736,1.05574324324324
"16","01003010500","1400000US01003010500",15,4815,3.11526479750779
"17","01003010600","1400000US01003010600",6,3325,1.80451127819549
"18","01003010701","1400000US01003010701",13,7882,1.64932758183202
"19","01003010703","1400000US01003010703",25,13166,1.89883032052256
"20","01003010704","1400000US01003010704",8,5055,1.58259149357072
"21","01003010705","1400000US01003010705",20,8331,2.4006721882127
"22","01003010800","1400000US01003010800",29,6861,4.22678909779915
"23","01003010903","1400000US01003010903",6,5173,1.1598685482312
"24","01003010904","1400000US01003010904",4,6831,0.585565802957107
"25","01003010905","1400000US01003010905",4,8011,0.49931344401448
"26","01003010906","1400000US01003010906",2,4302,0.464900046490005
"27","01003011000","1400000US01003011000",4,4305,0.929152148664344
"28","01003011101","1400000US01003011101",8,8397,0.952721209955937
"29","01003011102","1400000US01003011102",7,3715,1.8842530282638
"30","01003011201","1400000US01003011201",17,4230,4.01891252955083
"31","01003011202","1400000US01003011202",37,5065,7.30503455083909
"32","01003011300","1400000US01003011300",20,4487,4.45732114998886
"33","01003011401","1400000US01003011401",10,10632,0.940556809631302
"34","01003011403","1400000US01003011403",7,9131,0.766619209287044
"35","01003011405","1400000US01003011405",16,3832,4.17536534446764
"36","01003011406","1400000US01003011406",10,3412,2.93083235638921
"37","01003011407","1400000US01003011407",6,4799,1.25026047093144
"38","01003011408","1400000US01003011408",1,433,2.3094688221709
"39","01003011501","1400000US01003011501",12,5316,2.25733634311512
"40","01003011502","1400000US01003011502",19,10534,1.80368331118284
"41","01003011601","1400000US01003011601",32,6062,5.27878587924777
"42","01003011602","1400000US01003011602",25,4895,5.10725229826353
"43","01005950100","1400000US01005950100",3,3321,0.903342366757001
"44","01005950200","1400000US01005950200",8,4264,1.87617260787993
"45","01005950300","1400000US01005950300",4,1638,2.44200244200244
"46","01005950400","1400000US01005950400",1,4303,0.232396002788752
