"","tractid","id","N","population","fire_per_1000"
"1","01001020200","1400000US01001020200",2,2170,0.921658986175115
"2","01001020300","1400000US01001020300",3,3373,0.889415950192707
"3","01001020400","1400000US01001020400",2,4386,0.455996352029184
"4","01001020500","1400000US01001020500",4,10766,0.371540033438603
"5","01001020600","1400000US01001020600",4,3668,1.09051254089422
"6","01001020700","1400000US01001020700",4,2891,1.3836042891733
"7","01001020801","1400000US01001020801",2,3081,0.649139889646219
"8","01001020802","1400000US01001020802",6,10435,0.574988021082894
"9","01001020900","1400000US01001020900",2,5675,0.352422907488987
"10","01001021100","1400000US01001021100",1,3320,0.301204819277108
"11","01003010200","1400000US01003010200",2,2902,0.689179875947622
"12","01003010300","1400000US01003010300",4,7826,0.511116790186558
"13","01003010400","1400000US01003010400",6,4736,1.26689189189189
"14","01003010500","1400000US01003010500",6,4815,1.24610591900312
"15","01003010600","1400000US01003010600",1,3325,0.300751879699248
"16","01003010701","1400000US01003010701",2,7882,0.253742704897234
"17","01003010703","1400000US01003010703",4,13166,0.303812851283609
"18","01003010704","1400000US01003010704",1,5055,0.19782393669634
"19","01003010705","1400000US01003010705",7,8331,0.840235265874445
"20","01003010800","1400000US01003010800",4,6861,0.583005392799883
"21","01003010903","1400000US01003010903",3,5173,0.5799342741156
"22","01003010904","1400000US01003010904",2,6831,0.292782901478554
"23","01003010905","1400000US01003010905",3,8011,0.37448508301086
"24","01003010906","1400000US01003010906",1,4302,0.232450023245002
"25","01003011102","1400000US01003011102",1,3715,0.269179004037685
"26","01003011201","1400000US01003011201",1,4230,0.236406619385343
"27","01003011202","1400000US01003011202",5,5065,0.987166831194472
"28","01003011300","1400000US01003011300",2,4487,0.445732114998886
"29","01003011401","1400000US01003011401",1,10632,0.0940556809631302
"30","01003011403","1400000US01003011403",3,9131,0.328551089694448
"31","01003011405","1400000US01003011405",2,3832,0.521920668058455
"32","01003011406","1400000US01003011406",2,3412,0.586166471277843
"33","01003011407","1400000US01003011407",8,4799,1.66701396124193
"34","01003011408","1400000US01003011408",1,433,2.3094688221709
"35","01003011501","1400000US01003011501",1,5316,0.18811136192626
"36","01003011502","1400000US01003011502",8,10534,0.759445604708563
"37","01003011601","1400000US01003011601",2,6062,0.329924117452986
"38","01003011602","1400000US01003011602",3,4895,0.612870275791624
"39","01005950100","1400000US01005950100",3,3321,0.903342366757001
"40","01005950200","1400000US01005950200",6,4264,1.40712945590994
"41","01005950300","1400000US01005950300",2,1638,1.22100122100122
"42","01005950400","1400000US01005950400",2,4303,0.464792005577504
"43","01005950500","1400000US01005950500",1,3467,0.288433804441881
"44","01005950600","1400000US01005950600",1,2099,0.476417341591234
"45","01005950800","1400000US01005950800",1,2055,0.48661800486618
"46","01007010002","1400000US01007010002",1,6025,0.16597510373444
"47","01007010003","1400000US01007010003",2,5391,0.370988684845112
"48","01007010004","1400000US01007010004",1,8767,0.114064104026463
"49","01009050101","1400000US01009050101",3,7858,0.381776533469076
"50","01009050102","1400000US01009050102",2,7050,0.283687943262411
"51","01009050200","1400000US01009050200",4,3789,1.05568751649512
"52","01009050300","1400000US01009050300",8,5269,1.51831467071551
"53","01009050400","1400000US01009050400",2,4451,0.449337227589306
"54","01009050500","1400000US01009050500",14,7329,1.91021967526266
"55","01009050601","1400000US01009050601",1,3922,0.254971953085161
"56","01013952700","1400000US01013952700",2,2439,0.820008200082001
"57","01013952800","1400000US01013952800",3,1394,2.15208034433285
