"tractid","death_injury_rf_risk_prob"
34031143200,0.442
35035000603,0.416
35043010703,0.272
32003003607,0.39
32003005346,0.394
32031000102,0.592
36005005400,0.39
36005022703,0.312
36015011000,0.22
36047013600,0.312
36047025500,0.104
36053030102,0.448
36081005400,0.274
36081034700,0.274
36081115100,0.306
36083040900,0.482
36103146800,0.254
36119007000,0.04
39009973101,0.546
39035121403,0.406
39035174106,0.514
39049006943,0.45
39113120102,0.74
39129021200,0.228
39145003100,0.436
41005022708,0.332
41067031403,0.452
41071030502,0.284
42003561200,0.448
42017104902,0.166
42039110700,0.212
42039111400,0.268
42071014602,0.186
42081000800,0.246
42133021802,0.08
72017990000,0.234
72147950500,0.414
45041001504,0.354
47149041700,0.446
47165020800,0.362
47183968201,0.53
48029181505,0.434
48113009104,0.426
48113013621,0.332
48201555302,0.35
48227950802,0.456
48303001200,0.714
48361021700,0.378
48369950300,0.434
48439106509,0.26
48439110901,0.396
49005000600,0.374
49035112921,0.402
51800075801,0.27
53027001500,0.462
53053062300,0.366
53073010302,0.298
54067950500,0.354
56021000401,0.438
1031010500,0.404
1073001600,0.508
5045031001,0.388
4021001711,0.376
4021002101,0.398
6037980026,0.36
6059087902,0.594
6073008313,0.284
6077005109,0.486
6079011902,0.39
8031001902,0.362
8045952100,0.318
8059011730,0.26
9001081000,0.368
9003406100,0.214
9009170100,0.178
11001008802,0.284
10005050407,0.472
12005001900,0.256
12055961602,0.258
12055980100,0.232
12057013313,0.634
12103024408,0.38
12115002009,0.398
13043950200,0.386
13073030506,0.434
13121007500,0.962
13313001300,0.666
15003981100,0.29
19015020400,0.448
19049050901,0.346
17003957600,0.396
17021958100,0.302
17031061200,0.286
17031832300,0.256
17055040400,0.332
17165955900,0.512
17189950100,0.366
18097352600,0.46
18163001200,0.344
21043960300,0.394
21161960300,0.406
22017024203,0.506
22033001700,0.404
25017310200,0.356
24031700715,0.4
24031702500,0.348
26065003902,0.644
26087334000,0.444
26099255800,0.612
26159010900,0.228
27053026713,0.366
27137990100,0.232
29189219100,0.176
29189221301,0.26
28027950100,0.444
28049010801,0.458
28057950400,0.538
28149950200,0.902
30071060200,0.388
37041930102,0.358
37047931100,0.51
37049960700,0.57
37057061803,0.302
37067002002,0.46
37081012707,0.468
31055007472,0.386
31055007516,0.356
31109001302,0.364
34005702210,0.162
34013004802,0.416
34023000902,0.178
34023007801,0.388
35013000500,0.476
36029003700,0.484
36029005202,0.424
36047024300,0.392
36055011604,0.216
36081027500,0.39
36103159410,0.146
39017011123,0.428
39035106200,0.47
39035175202,0.334
39065000100,0.238
39153510200,0.338
39153531701,0.254
39173020900,0.27
40109108005,0.274
40143008700,0.448
41039002001,0.584
42041981001,0.294
42043023500,0.444
42055010200,0.264
42063960100,0.37
42091201404,0.3
44003021002,0.376
44009051101,0.274
45007010104,0.344
45007010401,0.58
45073030601,0.382
45077011204,0.558
47125101303,0.382
47163042600,0.704
48059030200,0.346
48085031646,0.288
48113007826,0.422
48201231900,0.662
48201410800,0.546
48245000600,0.418
48439106202,0.666
48439110401,0.048
48453001503,0.286
48471790800,0.422
48491021508,0.204
49011125908,0.394
51011040200,0.244
51187020300,0.166
51810043400,0.544
53033024601,0.25
53033032214,0.298
53067010910,0.4
55009000500,0.64
55025011800,0.334
55033970200,0.342
55079185900,0.42
55089660303,0.368
55139000100,0.466
1073012913,0.646
1087231800,0.394
5121960301,0.282
4013040524,0.428
4019004311,0.432
4027010914,0.382
6001433500,0.354
6029003813,0.224
6037143400,0.372
6037208801,0.302
6037532002,0.416
6065044701,0.462
6065045109,0.342
6067006004,0.302
6067008510,0.344
6071000301,0.32
6071002109,0.332
6073009201,0.396
6073010401,0.456
6075017902,0.836
6081984300,0.232
8035013910,0.326
8041006700,0.388
9001010700,0.298
9005290100,0.264
11001007604,0.404
10003014702,0.72
10005990000,0.232
12011092000,0.292
12015020602,0.458
12017450302,0.424
12021000500,0.342
12041950100,0.654
12071001502,0.422
12087971402,0.408
12113010900,0.218
13089021910,0.452
13135050418,0.41
15009030902,0.408
19169000700,0.138
16055000401,0.368
17031818100,0.364
17043845502,0.382
17043846515,0.372
17081050200,0.29
17091012500,0.598
17137951400,0.382
17197880408,0.212
18023950100,0.564
18097310308,0.302
18097357200,0.448
20175965600,0.35
21033920200,0.34
21051950200,0.202
21059000400,0.522
22089062100,0.288
22093040300,0.34
22097960900,0.538
22113950400,0.404
24005492402,0.326
24033800608,0.354
24033806800,0.364
23031034001,0.928
26049003000,0.454
26089970400,0.352
26125128300,0.45
26125141200,0.456
26161421900,0.314
26163518000,0.378
26163532400,0.422
26163557200,0.434
26163577100,0.474
27003050504,0.398
27053026706,0.402
27123036900,0.132
27137015200,0.384
29019001104,0.404
29169470600,0.394
28033070422,0.61
37001021902,0.316
37051003700,0.262
37057060304,0.374
37107010600,0.41
37157040101,0.414
37183053723,0.404
31053963600,0.376
34003039100,0.094
34017015900,0.39
34017017300,0.392
34017017600,0.37
34019011600,0.216
34025807500,0.392
35049010316,0.388
32003000524,0.408
36001013200,0.48
36047026300,0.632
36055015000,0.484
36059404902,0.368
36059517801,0.088
36081062200,0.258
36111952200,0.32
36119004100,0.36
39017013500,0.48
39061007500,0.616
40071001200,0.616
40143006902,0.404
40143009009,0.264
42029307200,0.272
72049950500,0.424
72113072300,0.26
72127010002,0.388
45083021001,0.31
45089970200,0.3
47037017300,0.8
47089070300,0.64
47119010400,0.488
48029150502,0.38
48053960500,0.32
48113007301,0.284
48113012206,0.412
48209010807,0.262
48223950200,0.326
51117930600,0.258
51740213001,0.376
51760041100,0.394
53049950600,0.34
53053062000,0.272
53061041100,0.918
55035000501,0.576
55079060200,0.314
54039012200,0.518
54055001000,0.2
54107000702,0.476
1081041700,0.422
1089011012,0.41
1097001502,0.41
1097005500,0.488
5007020205,0.232
5033020401,0.292
5093011000,0.522
4021001702,0.362
6025011801,0.366
6037185320,0.476
6037264102,0.3
6037301501,0.356
6037536103,0.41
6059011602,0.412
6059052424,0.404
6059063904,0.38
6059110008,0.296
6065042009,0.358
6065042217,0.224
6071007604,0.274
6071010422,0.386
6099000501,0.358
6101050601,0.284
8001060200,0.488
8035014134,0.296
8041002200,0.454
8059009852,0.538
8059010701,0.422
8069002005,0.926
9001020900,0.3
9001071300,0.218
12017451000,0.65
12021010602,0.414
12057001600,0.44
12057011108,0.458
12086001603,0.432
12086008907,0.406
12095016904,0.578
12103027403,0.336
12103028200,0.434
12119910602,0.406
13089021814,0.46
13097080201,0.246
13125010100,0.39
13135050309,0.36
13135050535,0.362
13135050606,0.72
13185010601,0.314
13223120303,0.416
13227050200,0.28
15003007400,0.336
17019010603,0.238
17031200200,0.414
17031833100,0.062
17089851910,0.534
18003010603,0.258
18031969400,0.202
18071967600,0.476
18097320301,0.394
18097352800,0.454
18141012400,0.39
20125950400,0.15
21005950300,0.356
21029021101,0.598
21185030802,0.28
22019000400,0.448
22055001410,0.26
22073000100,0.612
25005651900,0.778
25017353700,0.53
25025081700,0.308
25027732001,0.244
25027745100,0.72
24003702209,0.226
23003952000,0.906
26061000200,0.42
26063951200,0.456
26081010802,0.24
26099267600,0.436
26163505100,0.324
26163541200,0.244
27067781000,0.78
27137001600,0.442
27165950100,0.426
29049960100,0.49
29095009400,0.466
29103960200,0.404
29155470100,0.452
29165030211,0.518
29217950600,0.636
28039950200,0.648
28073020301,0.148
37001020701,0.356
37057061901,0.236
37077970701,0.13
37119006406,0.278
37183053606,0.418
37183054404,0.3
38101010200,0.432
31161951700,0.388
34003052200,0.106
34009020400,0.324
34013000300,0.232
34013002600,0.39
34013005700,0.39
34019011400,0.342
32003002302,0.38
32003002938,0.352
36005028900,0.23
36047026200,0.57
36059410000,0.356
36061016300,0.262
36071010102,0.368
36081119300,0.328
36117021400,0.32
36119002300,0.326
36119002401,0.38
39007000200,0.254
39035105500,0.626
39093050100,0.692
39095007303,0.866
39113000100,0.586
39147963500,0.47
40109107217,0.966
40143005100,0.076
40143007519,0.736
41029001100,0.072
41071030601,0.326
42003410000,0.334
42017105206,0.312
42069110402,0.312
42087960100,0.314
42129806700,0.288
72033020422,0.404
72063210201,0.396
72127004800,0.4
72129220200,0.438
72131958700,0.386
45047970201,0.342
45059920103,0.048
47089070900,0.196
47157008120,0.342
47183968600,0.386
48041001303,0.564
48049950300,0.38
48113019014,0.418
48143950201,0.398
48201341400,0.414
48201551400,0.402
48233950900,0.462
48245010200,0.406
48245011203,0.364
48303010408,0.452
48355005406,0.33
48373210205,0.486
48439111514,0.592
48439123400,0.464
49003960100,0.39
49035111904,0.306
51059420600,0.33
51179010404,0.264
51740212400,0.516
51810045809,0.566
53033002700,0.22
53063000300,0.338
55079006500,0.606
55093960400,0.25
55133202902,0.444
55137960100,0.218
54027968400,0.318
56033000500,0.342
1019955701,0.416
1073014102,0.414
1073014302,0.352
5069001000,0.348
5143010510,0.634
4013061029,0.358
4013093001,0.12
4013109802,0.436
4013217501,0.444
6001428600,0.37
6037115104,0.568
6037212610,0.406
6037262200,0.24
6037401002,0.382
6059042307,0.464
6059074701,0.416
6065042903,0.668
6067008132,0.408
6073012102,0.41
6073017501,0.224
6073020018,0.58
6075045100,0.248
6077003108,0.486
6081608700,0.256
6099000303,0.394
8001009307,0.436
8041004510,0.24
8059010213,0.336
8083941100,0.376
9009161100,0.178
10001040201,0.53
12009071339,0.382
12011041200,0.618
12011070317,0.336
12011090601,0.414
12099007832,0.334
13121005300,0.346
13297110603,0.326
19031450200,0.388
19061010500,0.336
17019001206,0.43
17031062400,0.214
17031080300,0.288
17031813900,0.274
17043845811,0.424
17111870812,0.542
17119402100,0.812
20107955100,0.148
21067002800,0.692
22073000401,0.422
22079012700,0.246
22103041210,0.344
22115950701,0.368
25021400500,0.106
24021750600,0.282
24031700306,0.358
24031701315,0.444
24043000900,0.422
24043010500,0.202
23013971100,0.57
26045021301,0.4
26049010502,0.284
26087334500,0.388
26125181100,0.442
26161413200,0.544
26163581600,0.22
27003050210,0.672
27021940002,0.722
27053104100,0.174
27171101100,0.616
27173970400,0.41
29077001700,0.918
29181870100,0.388
28069030200,0.37
30047940400,0.438
37105030300,0.314
37119005840,0.344
37149920103,0.154
31109003709,0.388
34021002601,0.598
34023001417,0.358
34023006900,0.718
36005038700,0.044
36005040303,0.394
36025970300,0.346
36027030000,0.268
36027150005,0.37
36057070900,0.312
36057072100,0.654
36065024700,0.342
36073040700,0.112
36081100801,0.232
36081119100,0.552
39025041405,0.65
39061026900,0.31
39097040102,0.506
39119911500,0.474
